Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
OSWALPUMPS,OSWAL PUMPS LTD,693.75,INR,1.29955464700299,1089991,0.26426133848697303,79066136254,INR,,,,,0,Producer manufacturing,
HCG,HEALTHCARE GLOB. ENT. LTD,566.3,INR,3.452685421994881,666851,2.4140031884993927,78964871665,INR,179.77777777777777,3.15,INR,-8.69565217391305,0,Health services,Buy
DHANUKA,DHANUKA AGRITECH LTD,1731.9,INR,0.6216593074599143,80038,0.855140641243297,78893796602,INR,26.437750157994525,65.5086,INR,24.87937854453605,0.808804413761229,Process industries,Strong buy
MOIL,MOIL LTD,387.85,INR,-0.8183096790691698,505484,0.6812324295768004,78881042056,INR,20.68367863904221,18.7515,INR,30.076027691838114,1.69482780859022,Non-energy minerals,Strong buy
MASTEK,MASTEK LTD,2548.6,INR,5.196681388533459,312974,4.432237077822647,78772293099,INR,21.150207468879668,120.5,INR,23.950534993139,0.746429904339115,Technology services,Buy
LUMAXTECH,LUMAX AUTO TECH LTD,1152,INR,1.1946591707659793,51015,0.26992463380409865,78524484028,INR,44.16043424427007,26.0867,INR,36.577435956503294,0.477389115528166,Producer manufacturing,Buy
ACI,ARCHEAN CHEMICAL IND LTD,636.35,INR,1.6614745586708164,478956,3.9185392568981627,78512344851,INR,48.510790763624726,13.1177,INR,-49.27867977712733,0.471623958497092,Process industries,Buy
PNCINFRA,PNC INFRATECH LTD.,306,INR,-0.2770083102493148,206439,0.47608483132968854,78475334994,INR,9.626910045019962,31.7859,INR,-10.334954414154167,0.19614253023864,Industrial services,Strong buy
EPIGRAL,EPIGRAL LIMITED,1816.6,INR,-0.31826163301142346,26060,0.7557303266518189,78254074683,INR,21.466698021012927,84.6241,INR,79.51806973330278,0.330778984508518,Process industries,Strong buy
HMT,HMT LTD -,64.32,INR,-0.5565862708720062,15709,1.5337525141082968,78241881071,INR,0.9026912324429922,71.2536,INR,,0,Producer manufacturing,
RAYMONDLSL,RAYMOND LIFESTYLE LTD,1283.6,INR,3.44938749194068,695910,0.6677292867287569,78177198734,INR,204.65887530094548,6.2719,INR,,0,Consumer non-durables,Strong buy
