Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
ANDHRAPAP,ANDHRA PAPER LTD,91.02,INR,-1.621271076523995,88821,0.47321632167692085,18489091260,INR,9.5113693362314,9.5696,INR,-64.95152707122425,2.151,Process industries,
RAMASTEEL,RAMA STEEL TUBES LTD,11.82,INR,-1.9900497512437827,5407752,0.6332560014384752,18448722731,INR,67.62013729977116,0.1748,INR,-15.021876519202715,0,Non-energy minerals,
HIL,HIL LTD,2393,INR,-2.2147760706113035,7474,1.5193218547354297,18445793291,INR,90.2269813739537,26.522,INR,-66.25545190364953,1.53305,Non-energy minerals,Strong buy
BLKASHYAP,B.L.KASHYAP & SON LTD,76.3,INR,-3.024911032028482,196381,0.42538604702746613,18438738006,INR,28.57035872088669,2.6706,INR,126.16869918699184,0,Industrial services,
BLISSGVS,BLISS GVS PHARMA LTD,162,INR,-2.964959568733147,495912,0.3569073870412576,18428560325,INR,27.24429047122532,5.9462,INR,-28.539838961663257,0.285878,Health technology,
BLSE,BLS E-SERVICES LTD,202.9,INR,-1.5765219500363814,139729,0.31039342253570557,18425700000,INR,36.5882246866829,5.5455,INR,,0,Technology services,
MASTERTR,MASTER TRUST LTD,161.75,INR,-0.19128717758854885,14561,0.5707622052799718,18394784595,INR,13.225242019884877,12.2304,INR,70.82995781769422,0,Finance,
DISHTV,DISH TV INDIA LTD.,9.24,INR,-6.002034587995929,9930724,0.952345661580054,18394127321,INR,,-11.033,INR,-19.67156214070329,0,Communications,Neutral
UNIPARTS,UNIPARTS INDIA LTD,391.3,INR,-2.3215177234148805,77995,2.090660047605773,18373953379,INR,17.454801743249813,22.4179,INR,,5.09703,Producer manufacturing,Neutral
BAJAJHCARE,BAJAJ HEALTHCARE LTD,562.1,INR,3.0241935483870965,462270,0.4641676100232972,18220378823,INR,,-5.6944,INR,57.554525261259116,0.17334,Health technology,
APOLLOPIPE,APOLLO PIPES LTD,430,INR,-1.353521449873819,11171,0.35233967929550986,18195410919,INR,54.154807183698146,7.9402,INR,-32.35532155970727,0.227273,Finance,Buy
SYNCOMF,SYNCOM FORMU (I) LTD,18.34,INR,-2.9115934356802575,1707653,0.7235283734565016,18189000359,INR,52.013613159387404,0.3526,INR,40.87095485417498,0,Health technology,
ASIANENE,ASIAN ENERGY SERVICES LTD,386.85,INR,-1.7523809523809466,205052,0.7981994073801876,18167230888,INR,40.80696202531646,9.48,INR,,0,Energy minerals,
SUYOG,SUYOG TELEMATICS LTD,1629,INR,-0.5190839694656488,36921,1.1145020194519406,18153568812,INR,24.217934651716664,67.2642,INR,37.834215832527335,0.0743826,Industrial services,
OMAXE,OMAXE LTD,94.62,INR,-3.3898305084745695,209003,1.3650601858806404,18070574228,INR,,-32.7522,INR,-48.966401804760245,0,Finance,
